SinhVienKey,MaSinhVien,HoTen,GioiTinh,NgaySinh,QueQuan,NgayNhapHoc,KhoaHoc,NamSinhVien,TrangThaiHocTap,LopKey,NganhKey,KhoaKey,NhomNangLuc
41,SV13001041,Bà Chi Đặng,Nữ,2004-11-21,Thái Bình,2022-08-25,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
42,SV13001042,Châu Lê,Nam,2004-01-09,Bắc Giang,2022-09-16,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
43,SV13001043,Hạnh Mai Phạm,Nam,2004-05-22,Thanh Hóa,2022-08-27,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
44,SV13001044,Bác Trung Hoàng,Nam,2004-01-22,Vĩnh Phúc,2022-09-09,Khóa 13,4,Tốt nghiệp,1,1,1,Giỏi
45,SV13001045,Minh Mai,Nam,2004-10-24,Thái Bình,2022-08-29,Khóa 13,4,Tốt nghiệp,1,1,1,Trung bình
46,SV13001046,Ông Minh Mai,Nam,2004-08-19,Hải Phòng,2022-09-01,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
47,SV13001047,Bác Dũng Đặng,Nam,2004-03-11,Ninh Bình,2022-08-08,Khóa 13,4,Tốt nghiệp,1,1,1,Trung bình
48,SV13001048,Anh Hữu Trần,Nam,2004-12-25,Hà Nội,2022-09-29,Khóa 13,4,Tốt nghiệp,1,1,1,Trung bình
49,SV13001049,Nam Mai Phạm,Nam,2004-03-22,Nam Định,2022-09-11,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
50,SV13001050,Minh Hoàng Vũ,Nam,2004-10-28,Vĩnh Phúc,2022-09-17,Khóa 13,4,Tốt nghiệp,1,1,1,Trung bình
51,SV13001051,Tùng Tấn Đặng,Nam,2004-09-09,Bắc Ninh,2022-09-08,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
52,SV13001052,Hoàng Trí Lê,Nam,2004-02-20,Thái Bình,2022-09-25,Khóa 13,4,Chậm tiến độ,1,1,1,Giỏi
53,SV13001053,Hưng Vũ,Nam,2004-11-02,Bắc Giang,2022-08-30,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
54,SV13001054,Hoàng Đức Mai,Nam,2004-09-26,Thái Nguyên,2022-09-04,Khóa 13,4,Tốt nghiệp,1,1,1,Giỏi
55,SV13001055,Bảo Xuân Lê,Nam,2004-09-26,Nghệ An,2022-08-06,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
56,SV13001056,Hải Lê,Nữ,2004-06-09,Thanh Hóa,2022-09-17,Khóa 13,4,Tốt nghiệp,1,1,1,Trung bình
57,SV13001057,Khoa Phạm,Nam,2004-07-18,Hà Nam,2022-09-05,Khóa 13,4,Tốt nghiệp,1,1,1,Giỏi
58,SV13001058,Bảo Bùi,Nam,2004-03-01,Thái Bình,2022-09-01,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
59,SV13001059,Nhật Mai,Nữ,2004-01-16,Thái Bình,2022-09-15,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
60,SV13001060,Hưng Trần,Nam,2004-05-17,Ninh Bình,2022-09-26,Khóa 13,4,Tốt nghiệp,1,1,1,Trung bình
61,SV13001061,Thành Văn Lê,Nam,2004-07-14,Ninh Bình,2022-08-19,Khóa 13,4,Cảnh báo học vụ,1,1,1,Trung bình
62,SV13001062,Huy Bùi,Nam,2004-03-18,Nam Định,2022-08-17,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
63,SV13001063,Quang Mai Bảo Phạm,Nam,2004-05-24,Bắc Giang,2022-08-16,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
64,SV13001064,Quý ông Bảo Đặng,Nam,2004-09-30,Quảng Ninh,2022-08-21,Khóa 13,4,Chậm tiến độ,1,1,1,Trung bình
65,SV13001065,Hải Mai Mai,Nam,2004-08-23,Hải Dương,2022-09-16,Khóa 13,4,Tốt nghiệp,1,1,1,Giỏi
66,SV13001066,Trung Phạm,Nam,2004-02-14,Bắc Ninh,2022-08-08,Khóa 13,4,Tốt nghiệp,1,1,1,Khá
67,SV14002001,Chị Hà Lê,Nữ,2005-03-21,Nghệ An,2023-09-12,Khóa 14,3,Cảnh báo học vụ,2,1,1,Giỏi
68,SV14002002,Huy Văn Mai,Nam,2005-02-26,Nghệ An,2023-08-27,Khóa 14,3,Đang học,2,1,1,Khá
69,SV14002003,Nhật Phú Bùi,Nam,2005-01-04,Hải Dương,2023-09-16,Khóa 14,3,Đang học,2,1,1,Xuất sắc
70,SV14002004,Bác Quang Dương,Nam,2005-02-23,Hải Dương,2023-08-11,Khóa 14,3,Đang học,2,1,1,Khá
71,SV14002005,Tùng Hải Đặng,Nam,2005-06-27,Quảng Ninh,2023-09-06,Khóa 14,3,Đang học,2,1,1,Khá
72,SV14002006,Tùng Đặng,Nam,2005-10-21,Hải Phòng,2023-08-25,Khóa 14,3,Đang học,2,1,1,Khá
73,SV14002007,Chi Dương,Nữ,2005-05-15,Ninh Bình,2023-09-23,Khóa 14,3,Đang học,2,1,1,Khá
74,SV14002008,Anh Vũ,Nam,2005-01-15,Hải Dương,2023-08-08,Khóa 14,3,Đang học,2,1,1,Khá
75,SV14002009,Vũ Mai,Nam,2005-12-25,Nghệ An,2023-09-13,Khóa 14,3,Đang học,2,1,1,Trung bình
76,SV14002010,Thành Hoàng,Nam,2005-06-27,Quảng Ninh,2023-09-29,Khóa 14,3,Đang học,2,1,1,Yếu
77,SV14002011,Ông Hoàng Đặng,Nam,2005-02-22,Hà Nội,2023-08-03,Khóa 14,3,Đang học,2,1,1,Trung bình
78,SV14002012,Thành Trần,Nam,2005-03-07,Hải Dương,2023-09-21,Khóa 14,3,Đang học,2,1,1,Khá
79,SV14002013,An Thị Trần,Nam,2005-10-20,Hà Nội,2023-09-28,Khóa 14,3,Đang học,2,1,1,Khá
80,SV14002014,Dũng Lê,Nam,2005-04-30,Hải Phòng,2023-09-15,Khóa 14,3,Đang học,2,1,1,Khá
81,SV14002015,Dũng Mai Phạm,Nam,2005-06-05,Hải Dương,2023-08-24,Khóa 14,3,Bảo lưu,2,1,1,Giỏi
82,SV14002016,Kim Thị Dương,Nam,2005-04-07,Quảng Ninh,2023-09-27,Khóa 14,3,Bảo lưu,2,1,1,Giỏi
83,SV14002017,Bảo Hoàng Trần,Nam,2005-08-17,Phú Thọ,2023-09-16,Khóa 14,3,Đang học,2,1,1,Yếu
84,SV14002018,Quý ông Minh Nguyễn,Nam,2005-07-13,Quảng Ninh,2023-08-22,Khóa 14,3,Đang học,2,1,1,Khá
85,SV14002019,Ông Minh Dương,Nam,2005-11-01,Bắc Giang,2023-08-14,Khóa 14,3,Đang học,2,1,1,Khá
86,SV14002020,Lâm Tấn Vũ,Nam,2005-10-25,Thái Bình,2023-09-11,Khóa 14,3,Đang học,2,1,1,Trung bình
87,SV14002021,Quang Hoàng,Nam,2005-12-04,Vĩnh Phúc,2023-09-20,Khóa 14,3,Đang học,2,1,1,Trung bình
88,SV14002022,Phương Trần,Nữ,2005-08-07,Thanh Hóa,2023-09-05,Khóa 14,3,Đang học,2,1,1,Trung bình
89,SV14002023,Nhiên Quang Mai,Nam,2005-03-08,Thái Nguyên,2023-09-14,Khóa 14,3,Đang học,2,1,1,Khá
90,SV14002024,Ông Tú Bùi,Nam,2005-06-05,Nam Định,2023-08-01,Khóa 14,3,Cảnh báo học vụ,2,1,1,Yếu
91,SV14002025,Lâm Nguyễn,Nữ,2005-04-13,Thái Bình,2023-08-17,Khóa 14,3,Đang học,2,1,1,Khá
92,SV14002026,Thành Quang Vũ,Nam,2005-03-07,Nghệ An,2023-08-04,Khóa 14,3,Đang học,2,1,1,Trung bình
93,SV14002027,Tùng Đức Dương,Nam,2005-08-02,Hưng Yên,2023-08-04,Khóa 14,3,Đang học,2,1,1,Khá
94,SV14002028,Nhật Mai Mai,Nam,2005-09-02,Thanh Hóa,2023-08-04,Khóa 14,3,Đang học,2,1,1,Trung bình
95,SV14002029,Châu Thị Vũ,Nam,2005-02-05,Nam Định,2023-08-17,Khóa 14,3,Bảo lưu,2,1,1,Yếu
96,SV14002030,Thảo Phạm,Nữ,2005-01-03,Vĩnh Phúc,2023-08-28,Khóa 14,3,Cảnh báo học vụ,2,1,1,Trung bình
97,SV14002031,Châu Vũ,Nam,2005-01-28,Thanh Hóa,2023-09-23,Khóa 14,3,Đang học,2,1,1,Khá
98,SV14002032,Tùng Hải Dương,Nam,2005-11-15,Ninh Bình,2023-08-06,Khóa 14,3,Bảo lưu,2,1,1,Khá
99,SV14002033,Lâm Hữu Dương,Nam,2005-02-03,Hà Nam,2023-08-24,Khóa 14,3,Đang học,2,1,1,Khá
100,SV14002034,Nam Bùi,Nam,2005-05-30,Phú Thọ,2023-09-23,Khóa 14,3,Đang học,2,1,1,Khá
101,SV14002035,Bảo Hoàng,Nam,2005-03-11,Nam Định,2023-08-17,Khóa 14,3,Đang học,2,1,1,Khá
102,SV14002036,Phúc Hoàng Mai,Nam,2005-10-21,Quảng Ninh,2023-09-02,Khóa 14,3,Đang học,2,1,1,Xuất sắc
103,SV14002037,Bà Dương Lê,Nữ,2005-07-01,Bắc Giang,2023-08-09,Khóa 14,3,Đang học,2,1,1,Trung bình
104,SV14002038,Linh Trần,Nữ,2005-10-18,Bắc Ninh,2023-08-13,Khóa 14,3,Đang học,2,1,1,Trung bình
105,SV14002039,Châu Trí Đặng,Nam,2005-03-10,Nghệ An,2023-09-18,Khóa 14,3,Đang học,2,1,1,Khá
106,SV14002040,Hoàng Nguyễn,Nam,2005-11-13,Hà Nội,2023-09-06,Khóa 14,3,Đang học,2,1,1,Trung bình
107,SV14002041,Châu Bùi,Nam,2005-09-18,Phú Thọ,2023-09-25,Khóa 14,3,Đang học,2,1,1,Trung bình
108,SV14002042,Phương Phú Trần,Nam,2005-10-16,Vĩnh Phúc,2023-09-27,Khóa 14,3,Cảnh báo học vụ,2,1,1,Yếu
109,SV14002043,Anh Phạm,Nam,2005-02-14,Thái Bình,2023-09-06,Khóa 14,3,Bảo lưu,2,1,1,Yếu
110,SV14002044,Hạnh Hoàng,Nữ,2005-09-20,Nam Định,2023-09-25,Khóa 14,3,Đang học,2,1,1,Giỏi
111,SV14002045,Hạnh Mai,Nữ,2005-01-05,Nghệ An,2023-08-03,Khóa 14,3,Đang học,2,1,1,Khá
112,SV14002046,Nhật Xuân Dương,Nam,2005-08-18,Ninh Bình,2023-08-10,Khóa 14,3,Đang học,2,1,1,Trung bình
113,SV14002047,Châu Xuân Hoàng,Nam,2005-07-15,Phú Thọ,2023-09-16,Khóa 14,3,Đang học,2,1,1,Khá
114,SV14002048,Vũ Lê,Nam,2005-01-02,Ninh Bình,2023-09-29,Khóa 14,3,Cảnh báo học vụ,2,1,1,Yếu
115,SV14002049,Chị Kim Vũ,Nữ,2005-01-08,Thái Nguyên,2023-09-13,Khóa 14,3,Đang học,2,1,1,Khá
116,SV14002050,Chị Kim Nguyễn,Nữ,2005-06-22,Thái Bình,2023-09-27,Khóa 14,3,Đang học,2,1,1,Khá
117,SV14002051,Tú Phạm,Nam,2005-11-20,Hưng Yên,2023-09-01,Khóa 14,3,Đang học,2,1,1,Xuất sắc
118,SV14002052,Ông Thành Vũ,Nam,2005-06-20,Hải Dương,2023-09-13,Khóa 14,3,Đang học,2,1,1,Giỏi
119,SV14002053,Hạnh Mai Hoàng,Nam,2005-06-09,Hà Nội,2023-09-15,Khóa 14,3,Đang học,2,1,1,Trung bình
120,SV14002054,Bà Bảo Trần,Nữ,2005-08-26,Phú Thọ,2023-09-23,Khóa 14,3,Đang học,2,1,1,Giỏi
121,SV14002055,Trung Phạm,Nam,2005-09-29,Thanh Hóa,2023-08-29,Khóa 14,3,Cảnh báo học vụ,2,1,1,Giỏi
122,SV14002056,Anh Dũng Lê,Nam,2005-11-07,Thái Nguyên,2023-08-10,Khóa 14,3,Cảnh báo học vụ,2,1,1,Yếu
123,SV14002057,Thành Trí Hoàng,Nam,2005-05-11,Bắc Ninh,2023-09-22,Khóa 14,3,Đang học,2,1,1,Trung bình
124,SV14002058,Anh Trọng Mai,Nam,2005-04-28,Hải Dương,2023-09-22,Khóa 14,3,Đang học,2,1,1,Khá
125,SV14002059,Bác Quang Dương,Nam,2005-04-05,Hải Dương,2023-08-18,Khóa 14,3,Cảnh báo học vụ,2,1,1,Trung bình
126,SV14002060,An Hoàng Vũ,Nam,2005-03-07,Quảng Ninh,2023-09-11,Khóa 14,3,Đang học,2,1,1,Khá
127,SV14002061,Bảo Hữu Dương,Nam,2005-09-22,Quảng Ninh,2023-08-06,Khóa 14,3,Đang học,2,1,1,Khá
128,SV14002062,Nhật Thị Hoàng,Nam,2005-07-19,Bắc Ninh,2023-09-02,Khóa 14,3,Đang học,2,1,1,Trung bình
129,SV14002063,Quý cô Lâm Mai,Nữ,2005-12-09,Nghệ An,2023-09-19,Khóa 14,3,Đang học,2,1,1,Trung bình
130,SV14002064,Bà Thành Bùi,Nữ,2005-07-24,Hưng Yên,2023-08-22,Khóa 14,3,Đang học,2,1,1,Khá
131,SV14002065,Huy Mai,Nam,2005-06-16,Hưng Yên,2023-09-07,Khóa 14,3,Đang học,2,1,1,Khá
132,SV14002066,Chị Phương Hoàng,Nữ,2005-05-27,Thái Nguyên,2023-09-04,Khóa 14,3,Đang học,2,1,1,Trung bình
133,SV14002067,Tú Phạm,Nam,2005-03-25,Hà Nam,2023-08-17,Khóa 14,3,Đang học,2,1,1,Giỏi
134,SV14002068,Quý ông Châu Lê,Nam,2005-06-19,Quảng Ninh,2023-09-19,Khóa 14,3,Đang học,2,1,1,Trung bình
135,SV15003001,Quang Văn Mai,Nam,2006-02-02,Vĩnh Phúc,2024-08-10,Khóa 15,2,Đang học,3,1,1,Trung bình
136,SV15003002,Trung Bùi,Nam,2006-02-17,Nam Định,2024-09-14,Khóa 15,2,Đang học,3,1,1,Khá
137,SV15003003,Hải Đức Bùi,Nam,2006-04-02,Hải Dương,2024-09-01,Khóa 15,2,Đang học,3,1,1,Khá
138,SV15003004,An Đức Trần,Nam,2006-10-23,Hà Nam,2024-09-03,Khóa 15,2,Đang học,3,1,1,Trung bình
139,SV15003005,Bảo Bảo Trần,Nam,2006-09-07,Nghệ An,2024-08-11,Khóa 15,2,Đang học,3,1,1,Khá
140,SV15003006,Tùng Mai Bảo Đặng,Nam,2006-08-19,Hải Dương,2024-08-18,Khóa 15,2,Đang học,3,1,1,Yếu
141,SV15003007,Vũ Đặng,Nam,2006-04-02,Vĩnh Phúc,2024-08-15,Khóa 15,2,Đang học,3,1,1,Khá
142,SV15003008,Quý ông Tú Mai,Nam,2006-11-06,Hưng Yên,2024-09-11,Khóa 15,2,Đang học,3,1,1,Khá
143,SV15003009,Vũ Văn Dương,Nam,2006-06-14,Thái Nguyên,2024-08-07,Khóa 15,2,Cảnh báo học vụ,3,1,1,Khá
144,SV15003010,Quý cô Ngọc Dương,Nữ,2006-07-04,Ninh Bình,2024-09-04,Khóa 15,2,Cảnh báo học vụ,3,1,1,Trung bình
145,SV15003011,Hưng Bùi,Nam,2006-03-12,Hải Phòng,2024-09-11,Khóa 15,2,Cảnh báo học vụ,3,1,1,Trung bình
146,SV15003012,Thảo Mai,Nữ,2006-07-23,Hà Nội,2024-08-25,Khóa 15,2,Đang học,3,1,1,Trung bình
147,SV15003013,Ông Quang Lê,Nam,2006-01-05,Nam Định,2024-08-14,Khóa 15,2,Đang học,3,1,1,Trung bình
148,SV15003014,Hạnh Bảo Trần,Nam,2006-09-27,Bắc Giang,2024-08-22,Khóa 15,2,Đang học,3,1,1,Trung bình
149,SV15003015,Cô Kim Trần,Nữ,2006-08-13,Thái Nguyên,2024-09-29,Khóa 15,2,Đang học,3,1,1,Trung bình
150,SV15003016,Thành Bảo Hoàng,Nam,2006-12-03,Thanh Hóa,2024-09-26,Khóa 15,2,Đang học,3,1,1,Xuất sắc
151,SV15003017,Lâm Xuân Mai,Nam,2006-06-12,Nghệ An,2024-08-25,Khóa 15,2,Đang học,3,1,1,Trung bình
152,SV15003018,Tùng Hoàng,Nam,2006-04-08,Hà Nam,2024-09-21,Khóa 15,2,Cảnh báo học vụ,3,1,1,Trung bình
153,SV15003019,Bác Huy Vũ,Nam,2006-03-22,Quảng Ninh,2024-09-27,Khóa 15,2,Đang học,3,1,1,Khá
154,SV15003020,Anh Quang Mai,Nam,2006-04-30,Hà Nội,2024-08-26,Khóa 15,2,Đang học,3,1,1,Trung bình
155,SV15003021,Cô Khoa Phạm,Nữ,2006-01-01,Thanh Hóa,2024-08-20,Khóa 15,2,Đang học,3,1,1,Giỏi
156,SV15003022,Bà Nhật Trần,Nữ,2006-09-14,Thái Bình,2024-09-02,Khóa 15,2,Đang học,3,1,1,Khá
157,SV15003023,Quý ông Trọng Dương,Nam,2006-08-25,Bắc Giang,2024-09-06,Khóa 15,2,Đang học,3,1,1,Giỏi
158,SV15003024,Quang Bùi,Nam,2006-10-21,Nam Định,2024-09-13,Khóa 15,2,Đang học,3,1,1,Trung bình
159,SV15003025,Khoa Hữu Đặng,Nam,2006-01-06,Bắc Giang,2024-09-04,Khóa 15,2,Đang học,3,1,1,Khá
160,SV15003026,Bác Anh Dương,Nam,2006-01-04,Thanh Hóa,2024-09-04,Khóa 15,2,Bảo lưu,3,1,1,Khá
161,SV15003027,Quý cô Ngọc Hoàng,Nữ,2006-01-09,Hưng Yên,2024-08-29,Khóa 15,2,Đang học,3,1,1,Trung bình
162,SV15003028,Tú Đặng,Nam,2006-06-17,Thái Nguyên,2024-08-26,Khóa 15,2,Đang học,3,1,1,Khá
163,SV15003029,Bác Anh Nguyễn,Nam,2006-03-22,Nghệ An,2024-08-22,Khóa 15,2,Đang học,3,1,1,Trung bình
164,SV15003030,Vũ Phạm,Nam,2006-03-10,Hà Nội,2024-08-05,Khóa 15,2,Đang học,3,1,1,Khá
165,SV15003031,Khoa Mai Trần,Nam,2006-09-20,Hà Nam,2024-09-29,Khóa 15,2,Đang học,3,1,1,Khá
166,SV15003032,Khoa Lê,Nam,2006-02-11,Vĩnh Phúc,2024-09-10,Khóa 15,2,Đang học,3,1,1,Khá
167,SV15003033,Tú Quang Trần,Nam,2006-11-05,Bắc Giang,2024-08-07,Khóa 15,2,Cảnh báo học vụ,3,1,1,Khá
168,SV15003034,Cô Lan Dương,Nữ,2006-11-20,Phú Thọ,2024-09-24,Khóa 15,2,Đang học,3,1,1,Trung bình
169,SV15003035,Vi Vũ,Nữ,2006-06-08,Hưng Yên,2024-09-06,Khóa 15,2,Cảnh báo học vụ,3,1,1,Khá
170,SV15003036,Anh Hưng Bùi,Nam,2006-05-02,Quảng Ninh,2024-08-15,Khóa 15,2,Đang học,3,1,1,Trung bình
171,SV15003037,Hải Xuân Hoàng,Nam,2006-06-04,Thái Bình,2024-08-05,Khóa 15,2,Đang học,3,1,1,Yếu
172,SV15003038,Chi Hoàng,Nữ,2006-06-10,Vĩnh Phúc,2024-09-16,Khóa 15,2,Cảnh báo học vụ,3,1,1,Yếu
173,SV15003039,Anh Nam Vũ,Nam,2006-10-30,Ninh Bình,2024-08-10,Khóa 15,2,Đang học,3,1,1,Yếu
174,SV15003040,Huy Hoàng Vũ,Nam,2006-10-15,Bắc Giang,2024-09-14,Khóa 15,2,Cảnh báo học vụ,3,1,1,Khá
175,SV15003041,Trung Tấn Lê,Nam,2006-10-24,Ninh Bình,2024-08-29,Khóa 15,2,Đang học,3,1,1,Khá
176,SV15003042,Xuân Trần,Nữ,2006-03-17,Thái Nguyên,2024-09-15,Khóa 15,2,Đang học,3,1,1,Khá
177,SV15003043,Ông Quang Bùi,Nam,2006-01-30,Hưng Yên,2024-08-01,Khóa 15,2,Đang học,3,1,1,Trung bình
178,SV15003044,Khoa Quang Vũ,Nam,2006-08-03,Ninh Bình,2024-08-22,Khóa 15,2,Đang học,3,1,1,Trung bình
179,SV15003045,Dũng Đức Trần,Nam,2006-04-28,Nam Định,2024-09-22,Khóa 15,2,Đang học,3,1,1,Khá
180,SV15003046,Tùng Trần,Nam,2006-09-25,Hải Phòng,2024-08-22,Khóa 15,2,Đang học,3,1,1,Giỏi
181,SV15003047,Bà Vi Lê,Nữ,2006-03-08,Nghệ An,2024-08-15,Khóa 15,2,Đang học,3,1,1,Trung bình
182,SV15003048,Phương Vũ,Nữ,2006-09-23,Thái Bình,2024-08-12,Khóa 15,2,Đang học,3,1,1,Yếu
183,SV15003049,Bác Nhiên Dương,Nam,2006-05-22,Quảng Ninh,2024-08-19,Khóa 15,2,Đang học,3,1,1,Yếu
184,SV15003050,Phúc Phú Dương,Nam,2006-01-26,Hải Phòng,2024-09-27,Khóa 15,2,Đang học,3,1,1,Giỏi
185,SV15003051,Khoa Vũ,Nữ,2006-11-07,Bắc Giang,2024-09-21,Khóa 15,2,Đang học,3,1,1,Trung bình
186,SV15003052,Tùng Đặng,Nam,2006-11-26,Hà Nội,2024-08-22,Khóa 15,2,Đang học,3,1,1,Khá
187,SV15003053,Nhật Thị Vũ,Nam,2006-02-28,Bắc Ninh,2024-08-27,Khóa 15,2,Cảnh báo học vụ,3,1,1,Khá
188,SV15003054,Quý ông Tú Phạm,Nam,2006-04-30,Nam Định,2024-08-12,Khóa 15,2,Đang học,3,1,1,Trung bình
189,SV15003055,Quý cô Hà Dương,Nữ,2006-05-03,Hải Phòng,2024-08-28,Khóa 15,2,Đang học,3,1,1,Giỏi
190,SV15003056,Bảo Thị Trần,Nam,2006-04-24,Quảng Ninh,2024-09-12,Khóa 15,2,Đang học,3,1,1,Xuất sắc
